model,outcome,relative_path,size_bytes,task_directory
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/0a065719-419a-437a-9be5-14806623c84e_s1.mp4,447762,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/217abd30-1c35-468e-a8a3-97f8e4e78af3_s1.mp4,278107,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/509a6ed2-fec1-4b44-8818-1a9d8591212d_s1.mp4,597106,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/54be71fd-3681-4170-aa57-a953787f7075_s1.mp4,275670,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/6114f21d-9e9d-4bf4-b7bc-1e568b0b0c99_s1.mp4,300484,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/6e7245fa-02cd-4a51-9ef8-670666eb09fa_s1.mp4,476581,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/71e74064-a978-4ea2-9fa5-160c41feb81d_s1.mp4,290200,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/72d655c4-51bb-403a-9217-c0ca51eda8a4_s1.mp4,286893,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/94354e2d-bda3-46b3-b271-67164859ecff_s1.mp4,317282,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/b288d66d-2a10-4ae4-9b14-556588ae9d95_s1.mp4,307952,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/be646aa0-2501-4e32-acbd-05d3e719b673_s1.mp4,395948,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/c7a5d5b9-7636-4eda-86a0-b6e63f4cb5a1_s1.mp4,312576,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/cd4535db-b77a-4ada-96b0-37f8b776ceb6_s1.mp4,331173,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/d1d0bd36-f9c9-4467-bd85-a28e802234df_s1.mp4,443561,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/d2810224-10a9-4b26-852b-959ff7a03898_s1.mp4,512047,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/e4b73b06-a20e-4e56-b189-284785909752_s1.mp4,379054,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/e68001d9-ea0e-4aa6-8f92-646acc43b958_s1.mp4,307099,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/e6de0c4b-471c-4f24-ba95-f5d3fd046319_s1.mp4,306100,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/f7009969-22ef-4cb8-b7b8-2a3b05328688_s1.mp4,320776,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/fdda16cb-c370-481d-8460-6d60514b2bc3_s1.mp4,315294,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/1655ab62-5cb7-4ddf-b8b3-7cf9ad9dae28_s1.mp4,295798,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/21cd14e1-8450-496c-8dc4-07258c21fa60_s1.mp4,303114,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/2cc55555-db84-43f7-b2f8-0f52a166481e_s1.mp4,298784,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/3883b3b2-71cc-46ee-a3fb-3df4a26366a4_s1.mp4,308237,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/46f245cc-cdc3-46dc-a586-594322ab3ec4_s1.mp4,351800,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/4ca2a07a-01bc-4243-a7fb-0d38392ef804_s1.mp4,312474,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/586726d6-9850-4b98-b50e-77a5e993dbc1_s1.mp4,311024,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/7a492022-3391-4dae-baf8-c09a7782cf80_s1.mp4,392738,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/8914599c-282c-44c5-96d8-cf16d7cd9f01_s1.mp4,285297,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/93d106d2-0eab-4ece-807d-84ca5ec1102d_s1.mp4,293741,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/a18233e8-0107-4c77-8246-68a5e5632158_s1.mp4,387131,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/ac6f6bd5-16b4-4e88-acd6-9325e9b4d0ae_s1.mp4,332684,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/aef59913-a2a2-4ade-ac64-97911c6587b2_s1.mp4,317543,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/b3a60a3a-93bb-486c-ab80-b79d8c9a7b66_s1.mp4,354772,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/c3f4312d-a449-48c7-a570-a88bd88ebdc1_s1.mp4,287690,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/c47441c5-25a7-43fb-9ce9-82cdd09da63b_s1.mp4,349237,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/cf6e1bd9-5cc2-4a9d-a738-9d895ee5d538_s1.mp4,323668,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/e1c8ca5e-79e1-400b-82a5-63b4c29c9c8f_s1.mp4,363688,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/e5b8f43e-ab6e-495b-99f7-0d0e1059f7fe_s1.mp4,307239,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/fce0b124-016e-4b2e-a67e-e570a38ff702_s1.mp4,309332,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
cka,success,cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/02c899f5-8c08-4060-89bb-5706da3baeef_s1.mp4,291138,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
cka,success,cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/04a078f9-3d5d-4b38-a054-646a90198e69_s1.mp4,275586,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
cka,success,cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/131b6cff-3c45-4836-aee9-ca328f438cd2_s1.mp4,272822,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
cka,success,cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/2c1a2833-7e76-481b-b392-b917946dd608_s1.mp4,282564,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
cka,success,cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/3334ec3f-bf95-4532-8530-f91cd627a340_s1.mp4,277993,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
