env_name,model,outcome,selected_path,size_bytes,source,task_index,video_index
libero_sim/pick_up_the_alphabet_soup_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/video_pick_up_the_alphabet_soup_and_place_it_in_the_basket_cka_success_01.mp4,290200,/tmp/gr00t_p37_eval/rollouts/videos/cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/71e74064-a978-4ea2-9fa5-160c41feb81d_s1.mp4,0,1
libero_sim/pick_up_the_alphabet_soup_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/video_pick_up_the_alphabet_soup_and_place_it_in_the_basket_cka_success_02.mp4,320776,/tmp/gr00t_p37_eval/rollouts/videos/cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/f7009969-22ef-4cb8-b7b8-2a3b05328688_s1.mp4,0,2
libero_sim/pick_up_the_alphabet_soup_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/video_pick_up_the_alphabet_soup_and_place_it_in_the_basket_cka_success_03.mp4,331173,/tmp/gr00t_p37_eval/rollouts/videos/cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/cd4535db-b77a-4ada-96b0-37f8b776ceb6_s1.mp4,0,3
libero_sim/pick_up_the_cream_cheese_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/video_pick_up_the_cream_cheese_and_place_it_in_the_basket_cka_success_01.mp4,312474,/tmp/gr00t_p37_eval/rollouts/videos/cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/4ca2a07a-01bc-4243-a7fb-0d38392ef804_s1.mp4,1,1
libero_sim/pick_up_the_cream_cheese_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/video_pick_up_the_cream_cheese_and_place_it_in_the_basket_cka_success_02.mp4,298784,/tmp/gr00t_p37_eval/rollouts/videos/cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/2cc55555-db84-43f7-b2f8-0f52a166481e_s1.mp4,1,2
libero_sim/pick_up_the_cream_cheese_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/video_pick_up_the_cream_cheese_and_place_it_in_the_basket_cka_success_03.mp4,323668,/tmp/gr00t_p37_eval/rollouts/videos/cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/cf6e1bd9-5cc2-4a9d-a738-9d895ee5d538_s1.mp4,1,3
libero_sim/pick_up_the_salad_dressing_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/video_pick_up_the_salad_dressing_and_place_it_in_the_basket_cka_success_01.mp4,268295,/tmp/gr00t_p37_eval/rollouts/videos/cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/720f0e7e-ece4-4a4f-b297-a126df759e8a_s1.mp4,2,1
libero_sim/pick_up_the_salad_dressing_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/video_pick_up_the_salad_dressing_and_place_it_in_the_basket_cka_success_02.mp4,277993,/tmp/gr00t_p37_eval/rollouts/videos/cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/3334ec3f-bf95-4532-8530-f91cd627a340_s1.mp4,2,2
libero_sim/pick_up_the_salad_dressing_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/video_pick_up_the_salad_dressing_and_place_it_in_the_basket_cka_success_03.mp4,291138,/tmp/gr00t_p37_eval/rollouts/videos/cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/02c899f5-8c08-4060-89bb-5706da3baeef_s1.mp4,2,3
libero_sim/pick_up_the_bbq_sauce_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket/video_pick_up_the_bbq_sauce_and_place_it_in_the_basket_cka_success_01.mp4,272474,/tmp/gr00t_p37_eval/rollouts/videos/cka/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket/3e8dfe81-bee8-4b25-aeb5-d34fe9c2e9f2_s1.mp4,3,1
