model,outcome,relative_path,size_bytes,task_directory
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/03fc19d3-3bda-4c3a-a158-83b8c974ac3c_s1.mp4,370902,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/0573598d-ff92-4930-b37a-a752c0f1ee5b_s1.mp4,321123,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/0a90add7-c724-46c1-adda-b200d940944c_s1.mp4,299872,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/0f64dfc1-cbcf-4b4f-aeee-1d82d5e05e8b_s1.mp4,289335,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/0f98dbd7-e3f4-4e9e-adf6-b585a9a308ad_s1.mp4,316492,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/13ae68a3-16fb-482e-8181-1aec9310907c_s1.mp4,305916,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/48620f2a-57f0-454d-9e23-a5f7a01cbad6_s1.mp4,347712,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/5aba7a7d-92d7-49d5-a10b-2ba53634fb7d_s1.mp4,381351,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/5f9cb7c1-0dd8-4773-849c-80ffd9ddf6ce_s1.mp4,296732,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/69f8461f-c177-4eee-be83-062f202ae7ce_s1.mp4,349113,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/75f812d7-e3ee-4a03-b046-aa81b71ae55e_s1.mp4,311930,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/7e50120c-5cd2-49eb-a13a-7e8d15f0ed86_s1.mp4,305944,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/80299078-9424-4a9f-b545-b144e8f35a84_s1.mp4,293874,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/868d5ce7-1bcc-40b2-b663-983ccda0590c_s1.mp4,306165,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/9b763b89-2431-4f49-a65e-7b271d6bf766_s1.mp4,299747,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/a7f19584-5bab-43e6-a169-1f16c2644f06_s1.mp4,283252,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/b2e04d68-7ebe-4f4d-9dc3-aa71a90662d4_s1.mp4,305171,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/c1db01bc-d766-4c90-be25-aef85cad5f1b_s1.mp4,302613,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/da339b10-d3fe-45f4-8d9e-55fdccd83443_s1.mp4,327887,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/f982a165-c1bb-430c-b1fd-bf236648feab_s1.mp4,326859,00_pick_up_the_alphabet_soup_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/0e899337-1a2a-4903-9ace-2071fdad2dca_s1.mp4,319847,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/0f9bc82a-699a-40db-bf9d-7d916b2bf80f_s1.mp4,283032,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/129652dc-a986-45ad-a46d-210f8c838b95_s1.mp4,370991,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/1b210f6d-6dae-4033-a731-8e93709ee534_s1.mp4,298067,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/1c1f42b7-6536-4259-9c17-1736abca61e2_s1.mp4,284842,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/2daf4525-5b1b-44d6-8a31-968b63cfdf1a_s1.mp4,305095,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/2f7aa2bb-6c37-4a95-b47e-5da2f7593f90_s1.mp4,325845,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/48519d74-7387-426f-b11b-6b4f2ce096b2_s1.mp4,336584,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/58cc8177-53af-4553-a2c5-68848cd4e868_s1.mp4,333926,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/62f33f1a-8257-4a73-ab0b-0ed690c9ae1f_s1.mp4,316048,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/68b5f57a-d6d1-482e-bbe4-e2b204323233_s1.mp4,331157,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/7ea34cd4-27fe-4127-b690-af5f0e843f38_s1.mp4,288789,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/8c62b989-1756-4f48-9630-104afe769ebc_s1.mp4,344611,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/90229c45-da49-4e0f-bc0b-583fb065c08f_s1.mp4,348203,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/989f942c-6644-4163-93a7-5f73481237ed_s1.mp4,288891,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/9cc408fa-3c9a-4910-a913-f59f10e1a6c1_s1.mp4,312226,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/a5115192-ae72-4bf7-9fd8-b3e62ba85eb0_s1.mp4,333672,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/aa12c670-ba2b-474a-8854-43d48a555121_s1.mp4,333416,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/d6878b1c-3ebd-4535-ab31-f62c5435a069_s1.mp4,337888,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/def4ba49-0008-4cb5-888a-bc103072404d_s1.mp4,375989,01_pick_up_the_cream_cheese_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/182fb3ab-b3eb-4365-bed2-f2a7122c2966_s1.mp4,275517,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/19c334b0-1805-4bb6-b801-72c885335e83_s1.mp4,293867,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/24fc21d5-0f5b-4f34-9d50-98de894e3cf2_s1.mp4,285736,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/25003c11-bdf8-4253-9aa3-92912cbea683_s1.mp4,270446,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/3a894cb2-4c6b-4edf-87e2-b7bcb0ec9f36_s1.mp4,282522,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/4dcc4788-5748-4b17-a3fe-fec94bd79633_s1.mp4,298991,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/6383351c-5f72-4671-8018-702051f90519_s1.mp4,293777,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/6d930086-7c78-402b-91ec-e9506cddaa82_s1.mp4,323702,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/84e142f7-d21a-49fb-b962-41b55038a2d8_s1.mp4,262001,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/8596e9bb-d375-412f-9083-44b0463e2ee7_s1.mp4,296810,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/9203acc5-a231-4c20-b703-adaa7bbf8beb_s1.mp4,270770,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/a671cbc1-b4ea-4fd2-af9d-56f0aef7ea96_s1.mp4,271534,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/acc91adb-1ff5-4abd-b645-5ea088a0e983_s1.mp4,280721,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/af8d4852-e395-4702-9ccf-75c3ba8bd2a9_s1.mp4,292864,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/b9ed8c6f-e8be-4152-8db3-d027a972e84a_s1.mp4,276158,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/c0a8783d-68d3-4dd5-8c6c-27a3f91c56df_s1.mp4,271258,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
baseline,success,baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/d146fc77-ab59-40dd-82da-90a332fe19db_s1.mp4,306542,02_pick_up_the_salad_dressing_and_place_it_in_the_basket
