variant,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps,original_success_count,original_success_rate,success_rate_provenance
baseline,10.02177533397652,1.2941630961372628,libero_sim/open_the_middle_drawer_of_the_cabinet,20,20,324,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/logs/success_rate/baseline_task_00_open_the_middle_drawer_of_the_cabinet.log,125.45,1.0,baseline,75,75,1.0,400.0,1020.7300510001004,507.5294692666617,501.9505019999997,529.7626277000745,659.1746024400916,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/rollouts/videos/baseline/00_open_the_middle_drawer_of_the_cabinet,0,250.3548439660001,12.517742198300004,3,20,1.0,0,open_the_middle_drawer_of_the_cabinet,2509,,,
baseline,9.460752227089612,1.2254860397784473,libero_sim/put_the_bowl_on_the_stove,20,20,225,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/logs/success_rate/baseline_task_01_put_the_bowl_on_the_stove.log,86.85,1.0,baseline,46,46,1.0,400.0,553.3020610000676,507.0497905434541,506.3790920000884,540.0655900000402,552.08616909988,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/rollouts/videos/baseline/01_put_the_bowl_on_the_stove,0,183.6006226890004,9.18003113445002,3,20,1.0,1,put_the_bowl_on_the_stove,1737,,,
baseline,5.904450100364511,0.7642644459807443,libero_sim/put_the_wine_bottle_on_top_of_the_cabinet,20,20,226,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/logs/success_rate/baseline_task_02_put_the_wine_bottle_on_top_of_the_cabinet.log,87.3,1.0,baseline,57,57,1.0,400.0,597.0852919999743,530.4191779473433,529.3778609998299,562.8382234000128,581.5284298399273,1.0,21,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/rollouts/videos/baseline/02_put_the_wine_bottle_on_top_of_the_cabinet,0,295.7091634819999,14.785458174099997,3,20,1.0,2,put_the_wine_bottle_on_top_of_the_cabinet,1746,,,
baseline,8.946072547057533,1.136846752628759,libero_sim/open_the_top_drawer_and_put_the_bowl_inside,20,20,474,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/logs/success_rate/baseline_task_03_open_the_top_drawer_and_put_the_bowl_inside.log,186.5,1.0,baseline,112,112,1.0,400.0,547.8442789999463,511.62407009820754,511.1987295001654,533.3080850997476,538.7787902398395,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/rollouts/videos/baseline/03_open_the_top_drawer_and_put_the_bowl_inside,0,416.942739999,20.84713699995,3,20,1.0,3,open_the_top_drawer_and_put_the_bowl_inside,3730,,,
baseline,8.820527914282875,1.1417299828842975,libero_sim/put_the_bowl_on_top_of_the_cabinet,20,20,215,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/logs/success_rate/baseline_task_04_put_the_bowl_on_top_of_the_cabinet.log,83.05,1.0,baseline,45,45,1.0,400.0,534.9372330001643,503.92968611108193,499.8788079997212,528.0319787998451,532.2605510799804,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/rollouts/videos/baseline/04_put_the_bowl_on_top_of_the_cabinet,0,188.3107242719998,9.415536213599989,3,20,1.0,4,put_the_bowl_on_top_of_the_cabinet,1661,,,
baseline,11.196556715082815,1.421028066905741,libero_sim/push_the_plate_to_the_front_of_the_stove,20,20,447,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/logs/success_rate/baseline_task_05_push_the_plate_to_the_front_of_the_stove.log,176.1,0.95,baseline,99,99,1.0,400.0,627.1379720001278,509.50835773735696,510.4438549997212,535.8149152000806,555.5597441603273,0.9545454545454546,22,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/rollouts/videos/baseline/05_push_the_plate_to_the_front_of_the_stove,0,314.560993136,15.7280496568,3,19,0.95,5,push_the_plate_to_the_front_of_the_stove,3522,,,
baseline,9.49405611835833,1.2325254819596092,libero_sim/put_the_cream_cheese_in_the_bowl,20,20,239,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/logs/success_rate/baseline_task_06_put_the_cream_cheese_in_the_bowl.log,92.05,1.0,baseline,52,52,1.0,400.0,534.4404950001262,501.5228603077381,498.3237369999642,526.065197649973,530.3434762999996,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/rollouts/videos/baseline/06_put_the_cream_cheese_in_the_bowl,0,193.9107981930001,9.695539909650003,3,20,1.0,6,put_the_cream_cheese_in_the_bowl,1841,,,
baseline,9.108504888793211,1.1860032407282828,libero_sim/turn_on_the_stove,20,20,200,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/logs/success_rate/baseline_task_07_turn_on_the_stove.log,76.8,1.0,baseline,42,42,1.0,400.0,528.0341170000611,505.7300410714691,510.9635544999946,524.8869324502266,526.9631970001547,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/rollouts/videos/baseline/07_turn_on_the_stove,0,168.63360329200032,8.431680164600015,3,20,1.0,7,turn_on_the_stove,1536,,,
baseline,8.480989229288953,1.096143844425088,libero_sim/put_the_bowl_on_the_plate,20,20,194,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/logs/success_rate/baseline_task_08_put_the_bowl_on_the_plate.log,75.05,1.0,baseline,48,48,1.0,400.0,544.8871609996786,504.9293033541744,501.3874300000225,530.7128662503374,539.7948430699716,1.0,22,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/rollouts/videos/baseline/08_put_the_bowl_on_the_plate,0,176.98407101099974,8.849203550549987,3,20,1.0,8,put_the_bowl_on_the_plate,1501,,,
baseline,11.23646929865686,1.4452322302146092,libero_sim/put_the_wine_bottle_on_the_rack,20,20,342,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/logs/success_rate/baseline_task_09_put_the_wine_bottle_on_the_rack.log,132.95,1.0,baseline,71,71,1.0,400.0,531.2791120004476,503.9165179858968,502.2013299994797,528.3777000004193,530.1627072002702,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_goal_sr_full/rollouts/videos/baseline/09_put_the_wine_bottle_on_the_rack,0,236.64016955199983,11.832008477599992,3,20,1.0,9,put_the_wine_bottle_on_the_rack,2659,,,
