task_name,Baseline,P25,P37,P50
open_the_middle_drawer_of_the_cabinet,1.0,1.0,0.85,0.9
open_the_top_drawer_and_put_the_bowl_inside,1.0,0.95,0.7,0.45
push_the_plate_to_the_front_of_the_stove,0.95,0.95,1.0,0.85
put_the_bowl_on_the_plate,1.0,1.0,1.0,1.0
put_the_bowl_on_the_stove,1.0,0.95,0.9,0.65
put_the_bowl_on_top_of_the_cabinet,1.0,1.0,1.0,1.0
put_the_cream_cheese_in_the_bowl,1.0,0.95,1.0,0.6
put_the_wine_bottle_on_the_rack,1.0,0.95,0.95,1.0
put_the_wine_bottle_on_top_of_the_cabinet,1.0,1.0,1.0,0.85
turn_on_the_stove,1.0,1.0,1.0,1.0
