variant,task_name,success_count,episodes_requested,episodes_returned,success_rate,mean_episode_length,mean_episode_reward,policy_rpc_mean_ms,policy_rpc_p95_ms,policy_rpc_deadline_miss_rate,display_name
baseline,open_the_middle_drawer_of_the_cabinet,20,20,20,1.0,125.45,1.0,507.5294692666617,529.7626277000745,1.0,Baseline
baseline,put_the_bowl_on_the_stove,20,20,20,1.0,86.85,1.0,507.0497905434541,540.0655900000402,1.0,Baseline
baseline,put_the_wine_bottle_on_top_of_the_cabinet,20,20,20,1.0,87.3,1.0,530.4191779473433,562.8382234000128,1.0,Baseline
baseline,open_the_top_drawer_and_put_the_bowl_inside,20,20,20,1.0,186.5,1.0,511.62407009820754,533.3080850997476,1.0,Baseline
baseline,put_the_bowl_on_top_of_the_cabinet,20,20,20,1.0,83.05,1.0,503.92968611108193,528.0319787998451,1.0,Baseline
baseline,push_the_plate_to_the_front_of_the_stove,19,20,20,0.95,176.1,0.95,509.50835773735696,535.8149152000806,1.0,Baseline
baseline,put_the_cream_cheese_in_the_bowl,20,20,20,1.0,92.05,1.0,501.5228603077381,526.065197649973,1.0,Baseline
baseline,turn_on_the_stove,20,20,20,1.0,76.8,1.0,505.7300410714691,524.8869324502266,1.0,Baseline
baseline,put_the_bowl_on_the_plate,20,20,20,1.0,75.05,1.0,504.9293033541744,530.7128662503374,1.0,Baseline
baseline,put_the_wine_bottle_on_the_rack,20,20,20,1.0,132.95,1.0,503.9165179858968,528.3777000004193,1.0,Baseline
p25,open_the_middle_drawer_of_the_cabinet,20,20,20,1.0,124.5,1.0,489.0482908787927,499.5395227501831,1.0,P25
p25,put_the_bowl_on_the_stove,19,20,20,0.95,213.2,0.95,502.914091196398,516.80255675019,1.0,P25
p25,put_the_wine_bottle_on_top_of_the_cabinet,20,20,20,1.0,86.2,1.0,510.09824865453663,519.5954503005851,1.0,P25
p25,open_the_top_drawer_and_put_the_bowl_inside,19,20,20,0.95,272.8,0.95,507.64995623717954,519.0683802497915,1.0,P25
p25,put_the_bowl_on_top_of_the_cabinet,20,20,20,1.0,81.55,1.0,505.121003465108,516.2231693995636,1.0,P25
p25,push_the_plate_to_the_front_of_the_stove,19,20,20,0.95,256.8,0.95,505.7148101533191,516.9577388996004,1.0,P25
p25,put_the_cream_cheese_in_the_bowl,19,20,20,0.95,132.95,0.95,498.5208139667318,511.58674340076686,1.0,P25
p25,turn_on_the_stove,20,20,20,1.0,71.65,1.0,496.3292950501455,511.7672183502691,1.0,P25
p25,put_the_bowl_on_the_plate,20,20,20,1.0,79.15,1.0,497.8133857345841,509.42960520005727,1.0,P25
p25,put_the_wine_bottle_on_the_rack,19,20,20,0.95,255.3,0.95,497.8460515302008,510.8590911997453,1.0,P25
p37,open_the_middle_drawer_of_the_cabinet,17,20,20,0.85,215.7,0.85,497.4193372879963,507.9802177995589,1.0,P37
p37,put_the_bowl_on_the_stove,18,20,20,0.9,153.2,0.9,499.8742928888735,510.8221285008767,1.0,P37
p37,put_the_wine_bottle_on_top_of_the_cabinet,20,20,20,1.0,87.15,1.0,500.2244230554088,513.2710036994467,1.0,P37
p37,open_the_top_drawer_and_put_the_bowl_inside,14,20,20,0.7,368.4,0.7,499.43352343348687,509.9352915020063,1.0,P37
p37,put_the_bowl_on_top_of_the_cabinet,20,20,20,1.0,85.1,1.0,498.5178151915495,509.8244414006331,1.0,P37
p37,push_the_plate_to_the_front_of_the_stove,20,20,20,1.0,140.4,1.0,501.0038189785964,510.64018919933005,1.0,P37
p37,put_the_cream_cheese_in_the_bowl,20,20,20,1.0,104.75,1.0,500.4514908695706,509.0329743972688,1.0,P37
p37,turn_on_the_stove,20,20,20,1.0,70.45,1.0,497.61806194749767,507.3811718999423,1.0,P37
p37,put_the_bowl_on_the_plate,20,20,20,1.0,77.05,1.0,500.5927487856666,511.0910997507745,1.0,P37
p37,put_the_wine_bottle_on_the_rack,19,20,20,0.95,158.15,0.95,497.7744458931217,507.6874463997228,1.0,P37
p50,open_the_middle_drawer_of_the_cabinet,18,20,20,0.9,182.7,0.9,460.84200554210736,464.6079122008814,1.0,P50
p50,put_the_bowl_on_the_stove,13,20,20,0.65,309.15,0.65,455.6301106509864,463.94449859990345,1.0,P50
p50,put_the_wine_bottle_on_top_of_the_cabinet,17,20,20,0.85,185.4,0.85,457.8905896490285,465.1712553996731,1.0,P50
p50,open_the_top_drawer_and_put_the_bowl_inside,9,20,20,0.45,499.95,0.45,457.0402316221589,466.42517394993774,1.0,P50
p50,put_the_bowl_on_top_of_the_cabinet,20,20,20,1.0,89.4,1.0,457.5734911542476,463.5346787503295,1.0,P50
p50,push_the_plate_to_the_front_of_the_stove,17,20,20,0.85,232.8,0.85,456.5542592350271,464.7348163984134,1.0,P50
p50,put_the_cream_cheese_in_the_bowl,12,20,20,0.6,343.6,0.6,454.1367777647597,461.6233861519504,1.0,P50
p50,turn_on_the_stove,20,20,20,1.0,70.2,1.0,453.094553937414,460.92651854887663,1.0,P50
p50,put_the_bowl_on_the_plate,20,20,20,1.0,79.0,1.0,453.9235036939558,462.6074785999663,1.0,P50
p50,put_the_wine_bottle_on_the_rack,20,20,20,1.0,165.6,1.0,454.9215447157238,463.0580943994573,1.0,P50
