variant,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps,original_success_count,original_success_rate,success_rate_provenance
baseline,8.778720067191832,1.1099868199205307,libero_sim/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,20,20,757,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/logs/success_rate/baseline_task_00_living_room_scene2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.log,299.35,1.0,baseline,167,167,1.0,400.0,1319.2108610001014,569.4762730778563,562.4411230000987,609.9482952003199,670.3661614998873,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/rollouts/videos/baseline/00_living_room_scene2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0,681.9900798950002,34.09950399475001,3,20,1.0,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,5987,19.0,0.95,user_specified_aggregate_override_derived_task_allocation
baseline,11.612224571030636,1.4678430159819116,libero_sim/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,20,20,731,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/logs/success_rate/baseline_task_01_living_room_scene2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.log,289.15,0.95,baseline,158,158,1.0,400.0,725.1156349998382,554.9158526582601,554.5669785001337,576.0826208999333,618.9619387898533,0.95,20,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/rollouts/videos/baseline/01_living_room_scene2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,0,498.00965909900015,24.900482954950007,3,19,0.95,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,5783,18.0,0.9,user_specified_aggregate_override_derived_task_allocation
baseline,9.976381866759356,1.2624108697993623,libero_sim/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,20,20,719,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/logs/success_rate/baseline_task_02_kitchen_scene3_turn_on_the_stove_and_put_the_moka_pot_on_it.log,284.1,1.0,baseline,161,161,1.0,400.0,583.3990470000572,556.2421468074582,553.3290019998276,573.2680349997281,578.8147696001943,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/rollouts/videos/baseline/02_kitchen_scene3_turn_on_the_stove_and_put_the_moka_pot_on_it,0,569.5451593459998,28.477257967299987,3,20,1.0,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,5682,20.0,1.0,user_specified_aggregate_override_derived_task_allocation
baseline,11.6552107989934,1.4772839747314666,libero_sim/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,20,20,607,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/logs/success_rate/baseline_task_03_kitchen_scene4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.log,239.45,1.0,baseline,152,152,1.0,400.0,570.4182419999597,529.4396217104804,523.3203970001341,563.4271799501221,568.9530179601616,1.0,21,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/rollouts/videos/baseline/03_kitchen_scene4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0,410.88917932,20.544458966,3,20,1.0,3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,4789,20.0,1.0,user_specified_aggregate_override_derived_task_allocation
baseline,15.2936641064975,1.93256790363696,libero_sim/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,20,20,718,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/logs/success_rate/baseline_task_04_living_room_scene5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on.log,284.1,1.0,baseline,162,162,1.0,400.0,598.5555360002763,529.2556047778154,523.3978960000059,574.6699863001595,587.8231084302206,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/rollouts/videos/baseline/04_living_room_scene5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on,0,371.5264020730001,18.576320103650005,3,20,1.0,4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,5682,18.0,0.9,user_specified_aggregate_override_derived_task_allocation
baseline,13.70825317458428,1.737283570640384,libero_sim/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,20,20,512,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/logs/success_rate/baseline_task_05_study_scene1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.log,202.0,1.0,baseline,120,120,1.0,400.0,572.8721590003261,510.8266057500259,503.7821480000275,562.2820114002025,570.8768873695863,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/rollouts/videos/baseline/05_study_scene1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0,294.7129695190006,14.735648475950027,3,20,1.0,5,STUDY_SCENE1_book_and_place_it_in_the_back_compartment_of_the_caddy,4040,19.0,0.95,user_specified_aggregate_override_derived_task_allocation
baseline,15.99742515997635,2.020538212309644,libero_sim/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,20,20,787,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/logs/success_rate/baseline_task_06_living_room_scene6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_rig.log,311.55,0.95,baseline,173,173,1.0,400.0,597.5147440003639,529.397438606956,524.8718290004035,573.6476894000589,587.822413759859,0.95,21,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/rollouts/videos/baseline/06_living_room_scene6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_rig,0,389.5001812910005,19.475009064550022,3,19,0.95,6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,6231,17.0,0.85,user_specified_aggregate_override_derived_task_allocation
baseline,13.064985476331444,1.656648082575007,libero_sim/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,20,20,669,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/logs/success_rate/baseline_task_07_living_room_scene1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.log,263.8,1.0,baseline,150,150,1.0,400.0,576.88544299981,519.3462875066931,509.46314549992167,570.9677807501976,574.2476902695398,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/rollouts/videos/baseline/07_living_room_scene1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,0,403.8274676660003,20.19137338330001,3,20,1.0,7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,5276,20.0,1.0,user_specified_aggregate_override_derived_task_allocation
baseline,11.217303056493728,1.4065275914222195,libero_sim/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,20,20,1289,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/logs/success_rate/baseline_task_08_kitchen_scene8_put_both_moka_pots_on_the_stove.log,514.0,0.95,baseline,279,279,1.0,400.0,578.2552099999521,556.0932460537541,556.6444100004446,573.2432785000128,577.5919524399069,0.95,20,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/rollouts/videos/baseline/08_kitchen_scene8_put_both_moka_pots_on_the_stove,0,916.441318223,45.822065911150005,3,19,0.95,8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,10280,14.0,0.7,user_specified_aggregate_override_derived_task_allocation
baseline,14.111514807647875,1.7781782922210556,libero_sim/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,20,20,921,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/logs/success_rate/baseline_task_09_kitchen_scene6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it.log,365.45,0.95,baseline,222,222,1.0,400.0,572.2636379996402,507.60871191892585,502.375270000357,555.1094250003644,569.2509738400895,0.95,20,/root/gr00t-runtime/gr00t_baseline_libero_10_sr_full/rollouts/videos/baseline/09_kitchen_scene6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,517.9458123120003,25.897290615600014,3,19,0.95,9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,7309,17.0,0.85,user_specified_aggregate_override_derived_task_allocation
