task_name,Baseline,P25,P37,P50
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1.0,0.95,0.9,0.55
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1.0,1.0,1.0,0.85
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0.95,0.95,0.95,0.45
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.95,0.8,0.5,0.35
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,1.0,1.0,0.9,0.85
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,1.0,0.9,0.95,0.55
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,0.95,0.95,0.9,0.8
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,1.0,1.0,0.75,0.7
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0.95,0.85,0.95,0.45
STUDY_SCENE1_book_and_place_it_in_the_back_compartment_of_the_caddy,1.0,0.8,0.75,0.8
