variant,task_name,success_count,episodes_requested,episodes_returned,success_rate,mean_episode_length,mean_episode_reward,policy_rpc_mean_ms,policy_rpc_p95_ms,policy_rpc_deadline_miss_rate,display_name
baseline,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,20,20,20,1.0,299.35,1.0,569.4762730778563,609.9482952003199,1.0,Baseline
baseline,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,19,20,20,0.95,289.15,0.95,554.9158526582601,576.0826208999333,1.0,Baseline
baseline,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,20,20,20,1.0,284.1,1.0,556.2421468074582,573.2680349997281,1.0,Baseline
baseline,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,20,20,20,1.0,239.45,1.0,529.4396217104804,563.4271799501221,1.0,Baseline
baseline,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,20,20,20,1.0,284.1,1.0,529.2556047778154,574.6699863001595,1.0,Baseline
baseline,STUDY_SCENE1_book_and_place_it_in_the_back_compartment_of_the_caddy,20,20,20,1.0,202.0,1.0,510.8266057500259,562.2820114002025,1.0,Baseline
baseline,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,19,20,20,0.95,311.55,0.95,529.397438606956,573.6476894000589,1.0,Baseline
baseline,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,20,20,20,1.0,263.8,1.0,519.3462875066931,570.9677807501976,1.0,Baseline
baseline,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,19,20,20,0.95,514.0,0.95,556.0932460537541,573.2432785000128,1.0,Baseline
baseline,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,19,20,20,0.95,365.45,0.95,507.60871191892585,555.1094250003644,1.0,Baseline
p25,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,18,20,20,0.9,302.4,0.9,502.6824154224688,526.8158970998911,1.0,P25
p25,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,19,20,20,0.95,271.85,0.95,497.8601556499977,534.397080049996,1.0,P25
p25,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,19,20,20,0.95,274.85,0.95,493.4795465555544,529.609595750253,1.0,P25
p25,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,20,20,20,1.0,248.0,1.0,492.25971006154185,540.5654033000701,1.0,P25
