variant,task_name,success_count,episodes_requested,episodes_returned,success_rate,mean_episode_length,mean_episode_reward,policy_rpc_mean_ms,policy_rpc_p95_ms,policy_rpc_deadline_miss_rate,display_name
baseline,alphabet_soup,20,20,20,1.0,145.2,1.0,519.6705120107505,535.8900172997892,1.0,Baseline
baseline,cream_cheese,20,20,20,1.0,142.25,1.0,532.6097781169713,550.6994378003583,1.0,Baseline
baseline,salad_dressing,20,20,20,1.0,121.5,1.0,532.7770525559212,548.4304912995867,1.0,Baseline
baseline,bbq_sauce,20,20,20,1.0,149.0,1.0,531.1161135909556,550.0115416503832,1.0,Baseline
baseline,ketchup,20,20,20,1.0,138.1,1.0,531.8967553562475,550.1355895998131,1.0,Baseline
baseline,tomato_sauce,20,20,20,1.0,133.15,1.0,533.9151863285224,549.5050003009965,1.0,Baseline
baseline,butter,19,20,20,0.95,184.15,0.95,532.3979254057087,550.7913009978438,1.0,Baseline
baseline,milk,20,20,20,1.0,124.55,1.0,531.1361919100194,547.9686204016616,1.0,Baseline
baseline,chocolate_pudding,19,20,20,0.95,173.45,0.95,533.192240881783,551.2516526010586,1.0,Baseline
baseline,orange_juice,20,20,20,1.0,122.4,1.0,533.3841490907864,550.5905550016905,1.0,Baseline
p25,alphabet_soup,20,20,20,1.0,161.2,1.0,478.7895406445589,487.9452937517272,1.0,P25
p25,cream_cheese,20,20,20,1.0,149.75,1.0,473.8685281089306,492.4847595004394,1.0,P25
p25,salad_dressing,20,20,20,1.0,127.5,1.0,473.7317386051904,491.60549600128434,1.0,P25
p25,bbq_sauce,20,20,20,1.0,152.8,1.0,474.1641626022807,491.994251500364,1.0,P25
p25,ketchup,20,20,20,1.0,136.5,1.0,476.3904573944312,495.0908855007583,1.0,P25
p25,tomato_sauce,20,20,20,1.0,134.6,1.0,475.2026489862159,493.6194318011985,1.0,P25
p25,butter,19,20,20,0.95,189.55,0.95,473.4344767355865,491.7978765017324,1.0,P25
p25,milk,20,20,20,1.0,125.8,1.0,472.4662178464664,490.6988425995223,1.0,P25
p25,chocolate_pudding,20,20,20,1.0,148.6,1.0,473.6405537623796,489.58355570212007,1.0,P25
p25,orange_juice,20,20,20,1.0,125.7,1.0,473.565008971283,491.7569904997436,1.0,P25
p37,alphabet_soup,20,20,20,1.0,169.85,1.0,444.013612882624,460.071063749092,1.0,P37
p37,cream_cheese,20,20,20,1.0,142.85,1.0,447.0277615053869,465.05328939820174,1.0,P37
p37,salad_dressing,20,20,20,1.0,122.8,1.0,446.0774755659114,463.6224872501771,1.0,P37
p37,bbq_sauce,20,20,20,1.0,149.95,1.0,449.2001249882378,465.0079554985496,1.0,P37
p37,ketchup,20,20,20,1.0,140.4,1.0,449.3131286754588,464.1784149000159,1.0,P37
p37,tomato_sauce,20,20,20,1.0,132.3,1.0,446.5733855633579,462.3658288997831,1.0,P37
p37,butter,20,20,20,1.0,151.9,1.0,448.26013271244847,465.3841547495176,1.0,P37
p37,milk,20,20,20,1.0,128.45,1.0,446.9487186340213,464.3359449983109,1.0,P37
p37,chocolate_pudding,19,20,20,0.95,177.8,0.95,447.5629635576441,462.1765677999065,1.0,P37
p37,orange_juice,20,20,20,1.0,119.45,1.0,446.260249390491,461.4783386508861,1.0,P37
p50,alphabet_soup,20,20,20,1.0,142.2,1.0,447.933703289146,457.77751830046327,0.9879518072289156,P50
p50,cream_cheese,20,20,20,1.0,137.75,1.0,445.8400721168919,459.0316136000183,1.0,P50
p50,salad_dressing,20,20,20,1.0,111.3,1.0,450.3899345763784,461.174528200354,1.0,P50
p50,bbq_sauce,20,20,20,1.0,142.0,1.0,448.5795725053997,461.9708987993363,1.0,P50
p50,ketchup,20,20,20,1.0,147.35,1.0,444.6241326668202,460.95676999902935,1.0,P50
p50,tomato_sauce,20,20,20,1.0,143.55,1.0,434.97727427792495,451.6286637015583,1.0,P50
p50,butter,20,20,20,1.0,150.9,1.0,442.82242340696666,457.1693130010317,1.0,P50
p50,milk,19,20,20,0.95,173.35,0.95,444.49006704622593,458.2341885510687,1.0,P50
p50,chocolate_pudding,20,20,20,1.0,152.5,1.0,443.4564711070077,456.9712376485768,1.0,P50
p50,orange_juice,19,20,20,0.95,149.75,0.95,445.7307688555172,461.2298212014138,1.0,P50
p75,alphabet_soup,17,20,20,0.85,251.45,0.85,370.91360181121337,382.2261162997165,0.0209790209790209,P75
p75,cream_cheese,20,20,20,1.0,123.6,1.0,371.76471818439984,382.1492917995784,0.0153846153846153,P75
p75,salad_dressing,20,20,20,1.0,123.95,1.0,372.0391555142019,384.18883805052246,0.0142857142857142,P75
p75,bbq_sauce,20,20,20,1.0,138.75,1.0,371.50621750623503,386.0255549989233,0.0123456790123456,P75
p75,ketchup,20,20,20,1.0,146.1,1.0,372.1188212593354,384.2920869992668,0.0,P75
p75,tomato_sauce,16,20,20,0.8,261.1,0.8,371.7852706666594,384.0865241006213,0.0,P75
p75,butter,20,20,20,1.0,150.0,1.0,368.8527669398014,380.6141951015889,0.0,P75
p75,milk,20,20,20,1.0,149.65,1.0,369.7330907529914,380.8081268020032,0.0,P75
p75,chocolate_pudding,20,20,20,1.0,148.65,1.0,371.1107083260251,382.338153148703,0.0108695652173913,P75
p75,orange_juice,19,20,20,0.95,167.15,0.95,371.340640731139,383.1009874018491,0.0,P75
