variant,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps
baseline,6.036748096962179,0.7805906935221788,libero_sim/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,20,20,289,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/logs/success_rate/baseline_task_00_pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.log,111.75,0.95,baseline,100,100,1.0,400.0,1455.0550769999973,543.3436958299945,533.4217729998727,561.0047102501085,748.8604480801168,0.95,20,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/rollouts/videos/baseline/00_pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,370.2324437100001,18.51162218550001,3,19,0.95,0,black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,2235
baseline,9.316998784261546,1.196714977376536,libero_sim/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,20,20,303,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/logs/success_rate/baseline_task_01_pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.log,117.95,1.0,baseline,67,67,1.0,400.0,584.1064900000674,530.0245982238768,528.8967239998783,552.7323383998464,565.7859387401187,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/rollouts/videos/baseline/01_pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0,253.19312094199995,12.659656047099997,3,20,1.0,1,black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,2359
baseline,8.47541150899578,1.1009297424056377,libero_sim/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,20,20,252,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/logs/success_rate/baseline_task_02_pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate.log,97.0,1.0,baseline,54,54,1.0,400.0,539.0051960002893,519.2568382962809,521.0567929998433,538.4121223999955,538.7672938402329,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/rollouts/videos/baseline/02_pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,228.89744031200007,11.444872015600003,3,20,1.0,2,black_bowl_from_table_center_and_place_it_on_the_plate,1940
baseline,7.098010481283815,0.922741362566896,libero_sim/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,20,20,221,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/logs/success_rate/baseline_task_03_pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate.log,85.0,1.0,baseline,54,54,1.0,400.0,557.3410490001152,516.7962642221853,516.6388914999516,537.6547110999127,551.0355828200591,1.0,21,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/rollouts/videos/baseline/03_pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,0,239.5037319939997,11.975186599699986,3,20,1.0,3,black_bowl_on_the_cookie_box_and_place_it_on_the_plate,1700
baseline,8.126732934114266,1.0438294921194498,libero_sim/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,20,20,331,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/logs/success_rate/baseline_task_04_pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate.log,128.85,1.0,baseline,84,84,1.0,400.0,608.7949829998252,532.4928516309748,530.6708749999416,552.4351543499279,571.5979171401342,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/rollouts/videos/baseline/04_pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0,317.10159800899964,15.855079900449985,3,20,1.0,4,black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,2577
baseline,7.741271163414632,0.9874481068064418,libero_sim/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,20,20,368,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/logs/success_rate/baseline_task_05_pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate.log,144.25,0.95,baseline,103,103,1.0,400.0,547.3077300002842,513.033866262124,511.797882999872,534.3988894997437,539.1794900599234,0.9523809523809524,21,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/rollouts/videos/baseline/05_pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,372.6778120930003,18.633890604650013,3,19,0.95,5,black_bowl_on_the_ramekin_and_place_it_on_the_plate,2885
baseline,9.612516506306124,1.2447863101691383,libero_sim/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,20,20,270,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/logs/success_rate/baseline_task_06_pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate.log,104.25,1.0,baseline,55,55,1.0,400.0,548.4770390003177,516.1283598181316,516.8758100003288,540.3664389997175,547.1330648604089,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/rollouts/videos/baseline/06_pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,216.904699059,10.84523495295,3,20,1.0,6,black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,2085
baseline,8.684663227490118,1.1160110572626372,libero_sim/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,20,20,298,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/logs/success_rate/baseline_task_07_pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate.log,115.95,1.0,baseline,65,65,1.0,400.0,564.2391910005244,517.3897438000215,520.6072389992187,536.478289999468,549.4268914803979,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/rollouts/videos/baseline/07_pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,267.0224439629992,13.35112219814996,3,20,1.0,7,black_bowl_on_the_stove_and_place_it_on_the_plate,2319
baseline,5.918516895988256,0.7718493761451826,libero_sim/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,20,20,256,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/logs/success_rate/baseline_task_08_pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate.log,98.15,1.0,baseline,88,88,1.0,400.0,549.5995970004515,520.8450786931694,521.0066130002815,539.1920781501994,547.0532714302954,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/rollouts/videos/baseline/08_pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0,331.6709294740004,16.583546473700018,3,20,1.0,8,black_bowl_next_to_the_plate_and_place_it_on_the_plate,1963
baseline,8.101919681396724,1.044982293600557,libero_sim/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,20,20,316,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/logs/success_rate/baseline_task_09_pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate.log,122.5,1.0,baseline,73,73,1.0,400.0,588.2244889999129,519.3222690000293,518.0457209999076,550.3265309998824,562.4022686001263,1.0,20,/root/gr00t-runtime/gr00t_baseline_libero_spatial_sr_full/rollouts/videos/baseline/09_pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,0,302.39746829699925,15.119873414849964,3,20,1.0,9,black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,2450
