task_name,Baseline,P25,P37,P50
black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0.95,0.95,0.75,1.0
black_bowl_from_table_center_and_place_it_on_the_plate,1.0,1.0,1.0,1.0
black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,1.0,1.0,1.0,0.95
black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1.0,1.0,1.0,1.0
black_bowl_next_to_the_plate_and_place_it_on_the_plate,1.0,1.0,0.95,0.95
black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1.0,1.0,1.0,1.0
black_bowl_on_the_cookie_box_and_place_it_on_the_plate,1.0,1.0,1.0,1.0
black_bowl_on_the_ramekin_and_place_it_on_the_plate,0.95,1.0,1.0,0.6
black_bowl_on_the_stove_and_place_it_on_the_plate,1.0,1.0,0.85,0.45
black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,1.0,1.0,1.0,0.75
