variant,task_name,success_count,episodes_requested,episodes_returned,success_rate,mean_episode_length,mean_episode_reward,policy_rpc_mean_ms,policy_rpc_p95_ms,policy_rpc_deadline_miss_rate,display_name
baseline,black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,19,20,20,0.95,111.75,0.95,543.3436958299945,561.0047102501085,1.0,Baseline
baseline,black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,20,20,20,1.0,117.95,1.0,530.0245982238768,552.7323383998464,1.0,Baseline
baseline,black_bowl_from_table_center_and_place_it_on_the_plate,20,20,20,1.0,97.0,1.0,519.2568382962809,538.4121223999955,1.0,Baseline
baseline,black_bowl_on_the_cookie_box_and_place_it_on_the_plate,20,20,20,1.0,85.0,1.0,516.7962642221853,537.6547110999127,1.0,Baseline
baseline,black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,20,20,20,1.0,128.85,1.0,532.4928516309748,552.4351543499279,1.0,Baseline
baseline,black_bowl_on_the_ramekin_and_place_it_on_the_plate,19,20,20,0.95,144.25,0.95,513.033866262124,534.3988894997437,1.0,Baseline
baseline,black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,20,20,20,1.0,104.25,1.0,516.1283598181316,540.3664389997175,1.0,Baseline
baseline,black_bowl_on_the_stove_and_place_it_on_the_plate,20,20,20,1.0,115.95,1.0,517.3897438000215,536.478289999468,1.0,Baseline
baseline,black_bowl_next_to_the_plate_and_place_it_on_the_plate,20,20,20,1.0,98.15,1.0,520.8450786931694,539.1920781501994,1.0,Baseline
baseline,black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,20,20,20,1.0,122.5,1.0,519.3222690000293,550.3265309998824,1.0,Baseline
p25,black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,19,20,20,0.95,142.35,0.95,529.8703878061181,542.5820369999769,1.0,P25
p25,black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,20,20,20,1.0,114.1,1.0,522.7768837968689,544.7425222499646,1.0,P25
p25,black_bowl_from_table_center_and_place_it_on_the_plate,20,20,20,1.0,94.45,1.0,504.24902938460025,522.8804828999614,1.0,P25
p25,black_bowl_on_the_cookie_box_and_place_it_on_the_plate,20,20,20,1.0,86.35,1.0,503.3056315090851,519.7410169001159,1.0,P25
p25,black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,20,20,20,1.0,132.5,1.0,525.8284301884145,546.8282096001531,1.0,P25
p25,black_bowl_on_the_ramekin_and_place_it_on_the_plate,20,20,20,1.0,110.75,1.0,506.4479433855253,522.4319358999765,1.0,P25
p25,black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,20,20,20,1.0,105.65,1.0,508.10308769640807,526.0074734997033,1.0,P25
p25,black_bowl_on_the_stove_and_place_it_on_the_plate,20,20,20,1.0,115.2,1.0,508.0514593599765,527.4015043999498,1.0,P25
p25,black_bowl_next_to_the_plate_and_place_it_on_the_plate,20,20,20,1.0,96.6,1.0,501.5929088441084,518.6308475999795,1.0,P25
p25,black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,20,20,20,1.0,120.85,1.0,506.7650623235589,547.068468299949,1.0,P25
p37,black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,15,20,20,0.75,242.45,0.75,450.9270593999681,468.7925088004704,1.0,P37
p37,black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,20,20,20,1.0,106.25,1.0,451.94789045904815,471.0949889995391,1.0,P37
